country,GHI_mean,GHI_median,DNI_mean,DNI_median,DHI_mean,DHI_median,Tamb_mean,Tamb_median,RH_mean,RH_median,WS_mean,WS_median
benin,236.234507782026,0.7,166.8966732321477,-0.1,111.65647742633145,0.5,28.1469754373769,27.9,54.57458618159348,55.1,2.065885953732669,1.9
sierraleone,201.95751522070017,0.3,116.37633694824962,-0.1,113.720570585997,-0.1,26.319394216133944,25.3,79.44885730593609,85.4,1.1461130136986302,0.8
togo,223.85967475486535,0.5,147.97593081423614,0.0,112.78124853538985,1.5,27.727474053401863,27.2,55.182806783783846,59.4,2.312184975665683,2.2
