,0
Timestamp,0
GHI,0
DNI,0
DHI,0
ModA,0
ModB,0
Tamb,0
RH,0
WS,0
WSgust,0
WSstdev,0
WD,0
WDstdev,0
BP,0
Cleaning,0
Precipitation,0
TModA,0
TModB,0
Comments,525600
